,Kod,Name
13759,42.21.11,Трубопроводы магистральные для жидкостей
13760,42.99.11.119,"Сооружения для горнодобывающей промышленности и связанные сооружения прочие, не включенные в другие группировки"
13761,23.42.1,Изделия санитарно-технические из керамики
13762,23.70.11,"Мрамор, травертин, алебастр, обработанные, и изделия из них (кроме брусчатки, камня бордюрного, плиты тротуарной, плит, блоков и аналогичных изделий); гранулы и порошок из мрамора, травертина и алебастра, искусственно окрашенные"
13763,01.28.20,Шишки хмеля
13764,23.99.99,"Услуги по производству минеральной неметаллической продукции, не включенной в другие группировки, отдельные, выполняемые субподрядчиком"
13765,24.10.65.120,Катанка горячекатаная со свободной намоткой в бухты из прочих легированных сталей
13766,01.41.10.110,Скот молочный крупный рогатый живой (кроме племенного)
13767,24.32.20,"Прокат листовой холоднокатаный стальной, плакированный, с гальваническим или другим покрытием, шириной менее 600 мм"
13768,28.13.11.130,Насосы для охлаждающей жидкости
13769,14.14.99,Услуги по производству нательного белья
13770,28.15.24.114,Редукторы червячные
13771,01.47.14.240,Цесарки для убоя
13772,14.19.11.190,Одежда и аксессуары одежды для детей младшего возраста трикотажные или вязаные прочие
13773,14.19.19.111,"Шали, шарфы, вуали трикотажные или вязаные"
13774,14.19.11.122,Ползунки для детей младшего возраста трикотажные или вязаные из шерсти или тонкого волоса животных
13775,28.25.13.113,"Прилавки, прилавки-витрины холодильные"
13776,24.51.11,Услуги по литью ковкого чугуна
13777,25.11.23.120,Конструкции и детали конструкций из алюминия прочие
13778,15.11.10.220,"Шкурки сурка меховые выделанные целые, с головой, хвостом или лапами или без них, несобранные"
13779,28.30.31.110,Плуги общего назначения
13780,03.11.63.110,Водоросли зеленые
13781,28.30.83.140,Смесители кормов
13782,25.30.21.142,Установки термоядерные с тороидальными системами
13783,15.11.52.110,Кожа композиционная на основе натуральной кожи
13784,28.92.61.110,"Комплектующие (запасные части) бурильных и проходческих машин, не имеющие самостоятельных группировок"
13785,17.23.99.000,"Услуги по производству бумажных канцелярских принадлежностей отдельные, выполняемые субподрядчиком"
13786,06.10.10.162,Нефть сырая высокосернистая тяжелая морских месторождений
13787,03.21.20.130,"Тиляпия свежая или охлажденная, являющаяся продукцией рыбоводства"
13788,07.21.1,Руды урановые и ториевые
13789,03.12.20.157,Ряпушка свежая или охлажденная
13790,07.29.15.172,Концентраты оловянные зерновые с массовой долей олова от 45 % до 60 %
13791,25.99.11.133,Ванны из меди
13792,17.29.11.120,Ярлыки и этикетки из картона
13793,18.11.10,Услуги по печатанию газет
13794,26.51.82.140,"Комплектующие (запасные части) приборов для измерения электрических величин и ионизирующих излучений, не имеющие самостоятельных группировок"
13795,26.51.83.120,"Комплектующие (запасные части) дифракционной аппаратуры, не имеющие самостоятельных группировок"
13796,29.32.30.134,"Трубки и шланги, в том числе витые шланги гидравлических систем тормозного привода, сцепления и рулевого привода"
13797,19.20.24,Керосин
13798,30.30.32.110,Самолеты с массой пустого снаряженного аппарата не более 2000 кг
13799,30.20.33.114,Вагоны изотермические
13800,20.12.99.000,"Услуги по производству красителей и пигментов отдельные, выполняемые субподрядчиком"
13801,30.30.31.110,Вертолеты пассажирские
13802,10.11.50.130,Жир бараний
13803,10.11.39.190,"Мясо и субпродукты пищевые прочие парные, остывшие, охлажденные или замороженные"
13804,32.20.13.163,Альты
13805,10.39.15,"Фасоль, консервированная без уксуса или уксусной кислоты (кроме готовых блюд из овощей)"
13806,32.40.39.239,"Игрушки металлические прочие, не включенные в другие группировки"
13807,20.14.34.273,"Эфиры холевой, дезоксихолевой кислот сложные"
13808,32.40.39.254,"Предметы игрового обихода из папье-маше, древесно-опилочных масс"
13809,32.91.12.130,Щетки туалетные прочие для ухода за внешностью
13810,20.14.31.150,Дистиллят жирнокислотный
13811,10.51.56.362,Консервы молокосодержащие сгущенные с сахаром вареные
13812,20.30.22.232,Фольга для горячего тиснения юбилейная
13813,10.6,"Продукция мукомольно-крупяного производства, крахмалы и крахмалопродукты"
13814,20.42.15.130,"Средства для ухода за кожей лица: лосьоны, кремы, специальные средства"
13815,10.62.9,"Услуги по производству крахмалов и крахмалопродуктов отдельные, выполняемые субподрядчиком"
13816,35.14.1,Услуги по торговле электроэнергией
13817,20.42.16.130,Средства для завивки или распрямления волос
13818,20.59.60.110,Желатины
13819,21.10.51.121,Поливитамины в комбинации с другими препаратами
13820,21.20.10.234,Препараты противопаркинсонические
13821,10.41.41.111,"Жмых и остатки пищевые твердые прочие, полученные при экстракции соевого масла"
13822,10.13.14.125,Хлебы колбасные мясосодержащие
13823,10.13.14.828,Изделия кулинарные мясосодержащие в тесте замороженные
13824,10.51.52.210,"Сметана, без вкусовых компонентов"
13825,11.07.19.135,Напитки специального назначения
13826,10.12.20.170,Мясо сельскохозяйственной птицы замороженное для детского питания
13827,27.90.11.310,Изделия со стабильными и радиоактивными изотопами; источники радиоактивного излучения; образцовые источники; источники тепла радионуклидные закрытые
13828,45.20.21.219,Услуги по ремонту ведущих мостов и приводов ведущих колес
13829,10.61.21.110,Мука пшеничная
13830,95.23.10.125,Услуги по постановке удлиненных подметок
13831,49.50.19,Услуги по транспортировке по трубопроводам других продуктов
13832,64.30.10,Услуги инвестиционных фондов и аналогичных финансовых организаций
13833,47.52.40,Услуги по розничной торговле материалами и оборудованием для изготовления поделок в специализированных магазинах
13834,62.02.20.130,Услуги по обучению пользователей
13835,46.42.11.140,Услуги по оптовой торговле аксессуарами одежды и головными уборами
13836,65.20.6,"Услуги по перестрахованию прочие, кроме перестрахования обязательств по страхованию жизни"
13837,72.19.40,"Услуги, связанные с научными исследованиями и экспериментальными разработками в области сельскохозяйственных наук"
13838,64.19.29.000,Услуги по предоставлению кредитов финансовыми организациями прочие
13839,95.11.10,Услуги по ремонту компьютеров и периферийного оборудования
13840,72.20.1,"Услуги, связанные с научными исследованиями и экспериментальными разработками в области общественных наук"
13841,43.22.1,"Работы по монтажу систем водопровода, канализации, отопления, вентиляции и кондиционирования воздуха"
13842,13.10.40.122,Нитки шелковые крученые
13843,11.05.20.120,Отходы виноделия
13844,78.1,"Услуги, предоставляемые агентствами по трудоустройству"
13845,12.00.19.190,Табак резаный
13846,79,"Услуги туристических агентств, туроператоров и прочие услуги по бронированию и сопутствующие им услуги"
13847,23.19.22.110,Стекла для часов
13848,23.41.9,"Услуги по производству хозяйственных и декоративных керамических изделий отдельные, выполняемые субподрядчиком"
13849,23.61.12.123,Балки подкрановые железобетонные
13850,13.91.1,Полотна трикотажные машинного или ручного вязания
13851,28.11.9,"Услуги по производству двигателей и турбин, кроме двигателей авиационных, автомобильных и мотоциклетных, отдельные, выполняемые субподрядчиком"
13852,24.10.14.190,Порошки прочих сталей
13853,01.13.11.000,Спаржа
13854,01.42.11.114,"Яки живые (кроме телят и молодняка), кроме племенных"
13855,01.43.10.210,Пони
13856,01.49.19.212,Молодняк лисиц клеточного разведения
13857,14.14.22.140,"Халаты домашние и купальные мужские или для мальчиков из текстильных материалов, кроме трикотажных или вязаных"
13858,24.20.32.000,"Трубы обсадные и насосно-компрессорные трубы, используемые для бурения нефтяных или газовых скважин, сварные, наружным диаметром не более 406,4 мм, стальные"
13859,28.29.12.110,Оборудование для фильтрования или очистки воды
13860,14.20.10.242,"Жакеты женские с верхом из хлопчатобумажных тканей, подкладка меховая"
13861,02.30.3,"Части растений, травы, мхи и лишайники, пригодные для декоративных целей"
13862,28.41.12.110,Центры металлообрабатывающие
13863,28.41.32.120,Машины пробивные металлообрабатывающие
13864,03.21.20.110,"Камбала свежая или охлажденная, являющаяся продукцией рыбоводства"
13865,28.92.29,"Автомобили-самосвалы, предназначенные для использования в условиях бездорожья"
13866,03.11.12.158,Скат листовидный живой
13867,16.10.10.121,Пиломатериалы из дуба
13868,03.22.40.120,Личинки рыбы пресноводные
13869,15.20.32.124,Обувь специальная кожаная для защиты от повышенных температур
13870,03.21.12,"Рыба морская живая, являющаяся продукцией рыбоводства (кроме декоративной)"
13871,16.21.91.000,Услуги по отделке плит и панелей
13872,08.11.12.144,Гранитогнейс
13873,26.12.30.000,Карты со встроенными интегральными схемами (смарт-карты)
13874,18.12.1,Услуги печатные прочие
13875,18.20.10.120,Услуги по копированию звукозаписей или видеозаписей на магнитные ленты
13876,08.92.10.115,Торф-сырец для промышленной переработки
13877,08.91.19.162,Сильвин
13878,30.30.6,Услуги по капитальному ремонту и модернизации (переоборудованию) летательных аппаратов и двигателей летательных аппаратов
13879,10.20.13.121,Сельдь мороженая
13880,20.13.24.111,Хлорид водорода
13881,20.13.24.122,Кислота серная
13882,20.13.52.120,Вода дистиллированная
13883,32.30.11.122,Палки лыжные
13884,20.13.65.219,Оксид лютеция
13885,10.20.99,"Операции процесса производства приготовленной или консервированной рыбы, ракообразных и моллюсков отдельные, выполняемые субподрядчиком"
13886,10.31.13.110,"Хлопья и гранулы из картофеля, в том числе из сушеного картофеля"
13887,20.14.24.119,Фенолы прочие
13888,20.14.32.151,Кислоты масляные
13889,20.16.40.160,Полимеры сложных эфиров аллилового спирта в первичных формах
13890,32.50.23.000,Части и принадлежности протезов и ортопедических приспособлений
13891,20.14.34.119,Соли фталевой кислоты прочие
13892,32.50.41,Линзы контактные; линзы для очков из различных материалов
13893,10.52.99,"Услуги по производству мороженого отдельные, выполняемые субподрядчиком"
13894,35.11.10.116,"Электроэнергия, произведенная гидроэлектростанциями (ГЭС) общего назначения"
13895,21.20.21.125,"Вакцины вирусные инактивированные, применяемые в медицине"
13896,33.12.22,Услуги по ремонту и техническому обслуживанию металлообрабатывающего оборудования и станков
13897,10.84.12.170,Горчица готовая
13898,10.89.13.120,Микроорганизмы одноклеточные мертвые прочие
13899,01.45.11.190,"Овцы чистопородные племенные прочие, не включенные в другие группировки"
13900,25.93.15.130,Проволока с флюсовым сердечником
13901,28.14.13.170,Арматура специальная для области использования атомной энергии
13902,21.10.51.120,Витамины и их производные
13903,42.22.13.340,Оборудование вспомогательное для атомных электростанций
13904,26.30.50.150,"Средства управления в системах физической защиты, применяемые в области использования атомной энергии"
13905,10.86.10.143,"Напитки на молочной основе жидкие, в том числе обогащенные, для детей дошкольного возраста и детей школьного возраста"
13906,27.40.33.120,"Прожекторы и аналогичные светильники узконаправленного света, предназначенные для использования с люминесцентными газоразрядными лампами"
13907,10.89.12.142,Желтки яичные жидкие
13908,41.20.20.400,"Сооружения, относящиеся к объектам использования атомной энергии, кроме ядерных установок, атомных станций и радиационных источников"
13909,27.90.11.169,Затворы пучковые в ускорителях заряженных частиц
13910,95.22.10.300,Услуги по ремонту домашнего и садового инвентаря
13911,96.01.12.139,Услуги по химической чистке перо-пуховых изделий
13912,95.29.11.300,"Услуги по обновлению одежды, в том числе трикотажной"
13913,94.99.13,Услуги по защите особых групп населения
13914,95.24.1,Услуги по ремонту мебели и предметов домашнего обихода
13915,46.18.12.000,"Услуги по оптовой торговле играми и игрушками, спортивными товарами, велосипедами, книгами, газетами, журналами, писчебумажными и канцелярскими товарами, музыкальными инструментами, часами и ювелирными изделиями, фототоварами и оптическими товарами за вознаграждение или на договорной основе"
13916,47.25.20.000,Услуги по розничной торговле безалкогольными напитками в специализированных магазинах
13917,46.65,Услуги по оптовой торговле офисной мебелью
13918,46.39.11.000,Услуги по неспециализированной оптовой торговле замороженными пищевыми продуктами
13919,47.23.20,Услуги по розничной торговле консервами из рыбы и морепродуктов в специализированных магазинах
13920,47.29.39,"Услуги по розничной торговле прочими пищевыми продуктами в специализированных магазинах, не включенными в другие группировки"
13921,47.29.1,Услуги по розничной торговле молочными продуктами и яйцами в специализированных магазинах
13922,47.43.1,Услуги по розничной торговле аудио- и видеотехникой в специализированных магазинах
13923,47.74.2,Услуги по розничной торговле ортопедическими изделиями в специализированных магазинах
13924,50.40.22.110,Услуги по буксировке на внутреннем водном транспорте
13925,58.19.11,"Открытки почтовые печатные, открытки поздравительные и прочая издательская продукция печатная"
13926,59.12.16.000,"Услуги по вводу сопроводительных надписей, наложению титров и субтитров"
13927,65.12.35,Услуги по страхованию судов прочие
13928,68.32.13.110,Услуги по технической инвентаризации недвижимого имущества нежилого фонда
13929,73.20,Услуги по исследованию конъюнктуры рынка и общественного мнения
13930,84.11.21,"Услуги, касающиеся института государственной гражданской службы и государственных гражданских служащих"
13931,85.22.12,Услуги в области высшего образования прочие - бакалавриат
13932,90.01.10.000,Услуги в области исполнительских искусств
13933,11.05.99,"Услуги по производству пива отдельные, выполняемые субподрядчиком"
13934,26.8,Носители информации магнитные и оптические
13935,01.11.62,Горох овощной
13936,13.20.20.110,Ткани хлопчатобумажные бытовые
13937,13.20.12.222,Ткани из конского волоса
13938,01.13.72.110,Семена сахарной свеклы шлифованные
13939,01.25.35,Орехи грецкие
13940,13.92.24.129,Одеяла стеганые прочие для детей
13941,13.92.24.140,Подушки
13942,24.10.21.129,Полуфабрикаты прямоугольного (кроме квадратного) поперечного сечения из нелегированной стали прочие
13943,24.10.61.111,Прокат сортовой горячекатаный круглый со свободной намоткой в бухты из нелегированных сталей
13944,01.15.10.120,Табак ферментированный с частично или полностью отделенной средней жилкой
13945,24.10.66.121,"Прокат сортовой горячекатаный круглый прочий, без дополнительной обработки, включая смотанный после прокатки, из прочих легированных сталей"
13946,27.9,Оборудование электрическое прочее
13947,28.12.12.120,"Пневмомоторы, поворотные пневмодвигатели, пневмотурбины"
13948,01.47.11.413,Цыплята кур мясных пород прародительского стада
13949,24.31.20.110,"Прутки холоднотянутые из легированных сталей, кроме нержавеющих"
13950,01.49.19.190,Виды оленей прочие
13951,01.7,"Услуги, связанные с охотой, ловлей и разведением диких животных"
13952,14.20.10.110,Пальто с верхом из натурального меха
13953,14.19.11.141,"Костюмы, гарнитуры, комбинезоны для детей младшего возраста трикотажные или вязаные из хлопчатобумажной пряжи"
13954,28.25.14,"Оборудование и установки для фильтрования или очистки газов, не включенные в другие группировки"
13955,28.29.70.110,"Оборудование и инструменты для пайки мягким и твердым припоем, и сварки неэлектрические и их комплектующие (запасные части), не имеющие самостоятельных группировок"
13956,14.31.10.129,Изделия чулочно-носочные женские из хлопчатобумажной и смешанной пряжи прочие
13957,25.71,Изделия ножевые и столовые приборы
13958,03.11.20.143,Терпуг свежий или охлажденный
13959,25.5,"Услуги по ковке, прессованию, штамповке и профилированию листового металла; услуги по производству изделий методом порошковой металлургии"
13960,25.73.40.220,Головки и плашки резьбонакатные
13961,06.10.10.245,"Нефть обезвоженная, обессоленная и стабилизированная особо высокосернистая битуминозная"
13962,28.99.32,"Карусели, качели, тиры и прочие аттракционы"
13963,07.29.14.111,Руды серебряные
13964,25.94.9,"Услуги по производству крепежных изделий и крепежных винтов отдельные, выполняемые субподрядчиком"
13965,26.51.33.123,Штангенглубиномеры
13966,03.12.20.156,Чир свежий или охлажденный
13967,26.51.53.110,Газоанализаторы или дымоанализаторы
13968,08.99.29,"Ископаемые полезные прочие, не включенные в другие группировки"
13969,26.51.85.120,"Комплектующие (запасные части) приборов, устройств и машин контрольно-измерительных, не включенные в другие группировки, не имеющие самостоятельных группировок"
13970,20.13.32.110,Гипохлориты
13971,10.20.42,"Продукты из рыбы, ракообразных, моллюсков и прочих водных беспозвоночных, не пригодные для употребления в пищу, прочие"
13972,20.14.32.183,Эфиры стеариновой кислоты сложные
13973,32.30.14.112,Инвентарь и оборудование для спортивной и художественной гимнастики
13974,10.32.18.120,Соки овощные и овощефруктовые диффузионные
13975,10.42.10.120,"Спреды растительно-сливочные, растительно-жировые"
13976,20.15.5,Удобрения калийные минеральные или химические
13977,20.16,Пластмассы в первичных формах
13978,32.40.39.255,"Игрушки спортивные из фарфора, фаянса, керамики"
13979,32.50.41.120,Линзы для очков из различных материалов
13980,10.73.11.150,Рожки
13981,33.12.22.000,Услуги по ремонту и техническому обслуживанию металлообрабатывающего оборудования и станков
13982,21.20.10.149,Препараты гиполипидемические
13983,21.20.10.156,Препараты антибактериальные и противомикробные для лечения заболеваний кожи
13984,21.20.24.130,Бинты медицинские
13985,22.19.7,"Изделия из вулканизированной резины, не включенные в другие группировки; резина твердая (эбонит) и изделия из твердой резины (эбонита)"
13986,26.11.22.221,Светодиодные модули ультрафиолетового диапазона
13987,22.19.73.112,Манжеты и воротники резиновые
13988,01.24.2,Плоды семечковых и косточковых культур прочие
13989,10.41.60.122,"Жиры и масла растительные и их фракции переэтерифицированные, но без дальнейшей обработки"
13990,20.13.14.110,"Элементы и сборки топливные, содержащие металлическое и интерметаллидное топливо"
13991,10.89.19.231,Кисели на плодово-ягодной основе (сухой кисель)
13992,22.21.99.110,"Услуги по производству полимерных защитных покрытий для улучшения радиационной обстановки отдельные, выполняемые субподрядчиком"
13993,46.18.19,"Услуги по оптовой торговле прочими отдельными товарами, не включенными в другие группировки, за вознаграждение или на договорной основе"
13994,59.20.31.140,Издания нотные печатные учебные
13995,95.23.10,Услуги по ремонту обуви и изделий из кожи
13996,43.99.2,Работы по установке строительных лесов и подмостей
13997,52.22.19.192,"Услуги, связанные с внутренним водным транспортом, прочие"
13998,71.12.32,Услуги геофизические
13999,71.20.19.140,Услуги по энергетическому обследованию
14000,75.00.19.000,Услуги ветеринарные прочие
14001,77.21.10,"Услуги по прокату оборудования для отдыха, развлечений и занятий спортом"
14002,11.06.10,Солод
14003,42.22.22.110,Работы строительные по прокладке местных линий электропередачи и связи над землей или под землей
14004,80.10.19.000,Услуги в области обеспечения безопасности прочие
14005,13.20.13.140,"Ткани чистольняные, льняные и полульняные полотенечные"
14006,78.30.11.000,Услуги в области трудовых ресурсов по обеспечению обслуживающим персоналом ЭВМ и телекоммуникационного оборудования прочие
14007,13.20.20.111,Ткани хлопчатобумажные плательные
14008,27.11.21,"Электродвигатели переменного и постоянного тока универсальные мощностью более 37,5 Вт"
14009,27.12.2,Устройства коммутации или защиты электрических цепей на напряжение не более 1 кВ
14010,27.51,Приборы бытовые электрические
14011,01.16.12.120,Волокна кенафа необработанные
14012,01.22.13.000,Финики
14013,24.10.21.141,"Полуфабрикаты, полученные непрерывным литьем круглого или многоугольного сечения из нелегированной стали"
14014,13.94.12.121,Сети готовые (отделанные) рыболовные из текстильных материалов
14015,13.96.12,"Ткани из металлической нити и ткани из металлизированной пряжи, не включенные в другие группировки"
14016,13.92.12.191,Простыни из прочих тканей
14017,27.90.5,Конденсаторы электрические
14018,14.19.31.122,"Рукавицы женские из натуральной кожи, подкладка меховая"
14019,14.20.10.140,Жилеты с верхом из натурального меха
14020,28.25.12.120,Кондиционеры для транспортных средств
14021,01.30.10.142,"Сорта роз и шиповника (дикой розы) культурные, включая черенки и отводки"
14022,01.49.19.100,Олени
14023,28.25.14.111,Фильтры для очистки воздуха
14024,02.20,Лесоматериалы необработанные
14025,25.62.10,Услуги по токарной обработке металлических деталей
14026,03.11.12.155,Акула колючая (акула-катран) живая
14027,15.11.10.320,"Шкурки выдры меховые выделанные целые, с головой, хвостом или лапами или без них, несобранные"
14028,03.11.20.111,Нототения свежая или охлажденная
14029,02.20.11.163,Бревна лиственницы для разделки на рудничную стойку
14030,15.20.13.179,"Обувь детская с верхом из кожи прочая, не включенная в другие группировки"
14031,15.20.14.149,"Обувь детская с верхом из текстильных материалов прочая, кроме спортивной обуви, не включенная в другие группировки"
14032,17.12.14.113,Бумага обложечная
14033,28.94.99,"Услуги по производству оборудования для текстильного, швейного и кожевенного производства отдельные, выполняемые субподрядчиком"
14034,16.21.99,"Операции процесса производства листов для облицовки и древесных плит отдельные, выполняемые субподрядчиком"
14035,06.10.10.335,Нефть смесевая высокосернистая битуминозная
14036,17.23.11.150,Бумага клейкая или гуммированная
14037,08.92.10.121,Брикеты и полубрикеты торфяные топливные
14038,30.12.19.150,Каноэ
14039,10.11.12,"Свинина парная, остывшая или охлажденная, в том числе для детского питания"
14040,26,"Оборудование компьютерное, электронное и оптическое"
14041,29.32.30.180,"Сцепления, их узлы и детали"
14042,26.51.12,"Дальномеры, теодолиты и тахиметры (тахеометры); прочие геодезические, гидрографические, океанографические, гидрологические, метеорологические или геофизические инструменты и приборы"
14043,30.11.10,Корабли военные
14044,20.13.21.210,Мышьяк
14045,30.20.31.123,Машины ремонтные рельсошлифовальные
14046,30.91.13.112,Мопеды
14047,10.41.29.134,Масло маковое и его фракции нерафинированные
14048,10.51.22.110,"Молоко (частично обезжиренное, цельное) сухое"
14049,32.99.22.120,"Комплектующие (запасные части), а также детали отделки к тростям, тростям-сидениям, кнутам, хлыстам и аналогичным изделиям"
14050,10.51.56.336,"Консервы и продукты сухие, сублимационной сушки молокосодержащие прочие"
14051,32.12.14.130,Изделия из драгоценных или полудрагоценных камней
14052,20.30.21.140,"Ангобы, люстры жидкие и аналогичные продукты для керамики, эмали для стекла и других целей"
14053,20.41.31.140,Мыло хозяйственное жидкое
14054,10.61.99.000,"Услуги по производству продукции мукомольно-крупяного производства отдельные, выполняемые субподрядчиком"
14055,41.20.20.110,"Здания топливно-энергетических, металлургических, химических и нефтехимических предприятий"
14056,10.85.11.000,"Продукты пищевые готовые и блюда на основе мяса, мясных субпродуктов или крови"
14057,01.25.34.000,Фисташки
14058,10.20.34.126,Консервы из морской капусты
14059,10.91.20,Мука грубого помола и гранулы из люцерны
14060,28.41.4,Части и принадлежности станков для обработки металлов
14061,28.13.14.192,Насосы для радиохимического производства
14062,24.45.30.160,"Висмут и изделия из него, сплавы на основе висмута, порошки"
14063,26.51.41.170,Приборы ядерные аналитические
14064,10.12.10.170,Мясо сельскохозяйственной птицы охлажденное для детского питания
14065,84.25.11.130,Услуги по обеспечению безопасности на объектах использования атомной энергии
14066,10.86.10.149,Продукция молочная для детей дошкольного и школьного возраста прочая
14067,01.15.10.131,Махорка-сырье неферментированное
14068,33.20.39.100,Услуги по монтажу оборудования для объектов использования атомной энергии
14069,45.20.11.513,Услуги по освидетельствованию автомобильных газовых баллонов
14070,95.23.10.115,Услуги по формованию следа валяной обуви на колодке
14071,95.22.10.249,Услуги по ремонту бытовых компрессоров и микрокомпрессоров
14072,94.99.19.110,Услуги патриотических объединений
14073,45.19.11.000,"Услуги по оптовой торговле грузовыми автомобилями, седельными тягачами, прицепами, полуприцепами и автобусами"
14074,43.99.1,Работы гидроизоляционные
14075,47.73.10,Услуги по розничной торговле лекарственными средствами в специализированных магазинах
14076,52.23.19.111,Работы авиационно-химические
14077,58.14.11.110,Журналы печатные для детей
14078,80.1,Услуги частных охранных служб
14079,80.30.10.000,Услуги по проведению расследований
14080,90.02.12,"Услуги по организации показа спектаклей, концертов и иных зрелищных программ (произведений исполнительского искусства), включая мероприятия по продвижению исполнительских искусств"
14081,43.11,Работы по сносу зданий и сооружений
14082,77.39.13,"Услуги по аренде и лизингу мотоциклов, жилых автофургонов и прицепов"
14083,23.14.99,"Услуги по производству стекловолокна отдельные, выполняемые субподрядчиком"
14084,23.13.13.111,Посуда столовая и кухонная из хрусталя
14085,01.11.62.000,Горох овощной
14086,01.13.17,Артишоки
14087,13.10.84.122,"Пряжа крученая с массовой долей искусственных штапельных волокон не менее 85 %, не расфасованная для розничной продажи"
14088,27.11.62,"Части трансформаторов, катушек индуктивности и статических преобразователей"
14089,13.20.12.126,Ткани плательные тонкосуконные шерстяные
14090,01.13.72.120,Семена сахарной свеклы дражированные
14091,01.25.12.000,Малина
14092,24.10.62.120,"Прокат сортовой горячекатаный прочий, без дополнительной обработки, включая смотанный после прокатки, из нелегированных сталей"
14093,24.10.36,"Прокат листовой горячекатаный из прочих легированных сталей, без дополнительной обработки, шириной менее 600 мм"
14094,28.1,Машины и оборудование общего назначения
14095,27.90.13.123,Резисторы угольные нагревательные
14096,28.11,"Двигатели и турбины, кроме двигателей авиационных, автомобильных и мотоциклетных"
14097,01.41.10.111,Коровы молочного стада (кроме племенных)
14098,01.42.11.110,"Скот крупный рогатый прочий и буйволы живые (кроме телят и молодняка), кроме племенного"
14099,01.47.11.110,Куры яичных пород прародительского стада взрослые
14100,24.41,Металлы драгоценные
14101,28.13.25.000,Турбокомпрессоры
14102,24.41.30.144,Сплавы иридия
14103,28.21.14.110,Части печных горелок
14104,01.49.12.191,Птицы хищные
14105,28.30.70,Прицепы и полуприцепы самозагружающиеся или саморазгружающиеся для сельского хозяйства
14106,28.92.23.000,Скреперы самоходные
14107,14.19.21.130,Одежда для детей младшего возраста и аксессуары одежды из шерстяных тканей
14108,24.45.30.343,Изделия из таллия
14109,06.10.10.333,Нефть смесевая высокосернистая средняя
14110,17.12.14.125,Бумага билетная
14111,26.51.61.110,Микроскопы (кроме микроскопов оптических)
14112,29.31.30.000,Части прочего электрического оборудования для автотранспортных средств и мотоциклов
14113,26.51.65.000,"Приборы и аппаратура для автоматического регулирования или управления, гидравлические или пневматические"
14114,30.11.33.140,Краны плавучие
14115,08.12.11.192,Пески полимиктовые
